user_id,session_id,timestamp,date,hour,day_of_week,is_weekend,is_holiday,game_type,sport_type,country,device_type,payment_method,user_age,account_age_days,vip_tier,campaign_type,bet_amount,win_amount,net_result,session_length_minutes,games_played,bonus_used,deposit_amount,withdrawal_amount,previous_session_gap_hours,lifetime_deposits,lifetime_bets,avg_bet_size,is_first_session,redeposit,first_session_won
user_000039,sess_00000010,2024-07-23 01:22:54.988734+00:00,2024-07-23,1,1,0,0,sports_betting,soccer,US,desktop,credit_card,29.0,0,silver,cashback,436.23,536.06,99.83,88,29,1,929.94,,,929.94,29,436.23,True,1,True
user_000041,sess_00000197,2024-10-24 16:58:28.654705+00:00,2024-10-24,16,3,0,0,blackjack,,AU,desktop,e_wallet,53.0,1,silver,reload_bonus,67.6,0.0,-67.6,171,57,1,892.64,,,892.64,57,67.6,True,1,False
user_000042,sess_00000603,2024-09-26 18:49:51.810551+00:00,2024-09-26,18,3,0,0,poker,,FR,tablet,bank_transfer,47.0,12,bronze,free_spins,118.02,159.13,41.11,272,90,0,,,,0.0,90,118.02,True,1,True
user_000043,sess_00000920,2024-08-08 20:20:01.941719+00:00,2024-08-08,20,3,0,0,live_dealer,,DE,mobile,crypto,43.0,10,,free_spins,1460.46,2484.84,1024.38,149,49,0,,1895.92,,0.0,49,1460.46,True,1,True
user_000044,sess_00002422,2023-12-11 23:44:13.007134+00:00,2023-12-11,23,0,0,0,live_dealer,,CA,mobile,bank_transfer,41.0,4,silver,reload_bonus,296.43,726.64,430.21,130,43,0,1081.93,1588.18,,1081.93,43,296.43,True,1,True
user_000045,sess_00000025,2024-03-16 03:58:25.538409+00:00,2024-03-16,3,5,1,0,blackjack,,MX,mobile,e_wallet,,28,silver,cashback,691.97,802.67,110.7,93,31,1,528.93,,,528.93,31,691.97,True,1,True
user_000046,sess_00000004,2023-09-02 05:28:36.587889+00:00,2023-09-02,5,5,1,0,blackjack,,BR,tablet,crypto,36.0,12,bronze,welcome_bonus,63.8,174.92,111.12,143,47,0,,,,0.0,47,63.8,True,1,True
user_000047,sess_00007899,2024-10-01 18:08:17.396657+00:00,2024-10-01,18,1,0,0,live_dealer,,MX,tablet,,39.0,26,bronze,none,180.26,309.29,129.03,95,31,0,,1590.95,,0.0,31,180.26,True,0,True
user_000048,sess_00001470,2024-01-27 10:15:59.619204+00:00,2024-01-27,10,5,1,0,blackjack,,DE,tablet,debit_card,57.0,23,gold,free_spins,396.61,536.48,139.87,175,58,0,4657.24,,,4657.24,58,396.61,True,1,True
user_000049,sess_00002879,2024-10-10 05:46:25.893536+00:00,2024-10-10,5,3,0,0,sports_betting,golf,US,tablet,crypto,49.0,24,gold,free_spins,233.17,0.0,-233.17,44,14,1,2938.94,,,2938.94,14,233.17,True,1,False
user_000050,sess_00001339,2024-04-21 10:48:25.599466+00:00,2024-04-21,10,6,1,0,poker,,BR,tablet,e_wallet,23.0,25,,none,56.41,0.0,-56.41,119,39,1,3610.44,,,3610.44,39,56.41,True,0,False
user_000052,sess_00001205,2024-03-25 09:11:20.458605+00:00,2024-03-25,9,0,0,0,blackjack,,AU,desktop,bank_transfer,40.0,0,gold,free_spins,50.71,0.0,-50.71,251,83,0,3159.4,1253.05,,3159.4,83,50.71,True,1,False
user_000054,sess_00001177,2024-04-20 09:51:40.627811+00:00,2024-04-20,9,5,1,0,poker,,BR,mobile,credit_card,52.0,15,silver,reload_bonus,63.19,0.0,-63.19,12,4,1,1390.44,,,1390.44,4,63.19,True,1,False
user_000055,sess_00000871,2023-12-04 10:54:01.961755+00:00,2023-12-04,10,0,0,0,sports_betting,soccer,BR,tablet,credit_card,57.0,11,bronze,free_spins,69.35,165.3,95.95,117,39,1,,,,0.0,39,69.35,True,1,True
user_000056,sess_00001558,2024-05-16 00:54:38.506934+00:00,2024-05-16,0,3,0,0,live_dealer,,IT,desktop,credit_card,56.0,26,bronze,reload_bonus,55.31,154.75,99.44,124,41,0,,,,0.0,41,55.31,True,1,True
user_000057,sess_00002430,2024-12-25 15:53:11.919796+00:00,2024-12-25,15,2,0,0,poker,,DE,mobile,bank_transfer,34.0,29,gold,reload_bonus,2506.99,0.0,-2506.99,179,59,1,2006.49,,,2006.49,59,2506.99,True,1,False
user_000059,sess_00000643,2023-08-26 17:00:31.833373+00:00,2023-08-26,17,5,1,0,blackjack,,,mobile,credit_card,48.0,15,bronze,free_spins,780.14,0.0,-780.14,112,37,0,,,,0.0,37,780.14,True,1,False
user_000060,sess_00001710,2024-05-31 05:17:25.920869+00:00,2024-05-31,5,4,0,0,blackjack,,ES,mobile,,56.0,10,bronze,cashback,314.88,0.0,-314.88,157,52,0,,,,0.0,52,314.88,True,1,False
user_000061,sess_00000478,2024-07-17 15:54:42.804845+00:00,2024-07-17,15,2,0,0,blackjack,,US,tablet,bank_transfer,39.0,26,gold,none,380.99,534.24,153.25,93,31,0,2577.82,,,2577.82,31,380.99,True,1,True
user_000064,sess_00001302,2024-11-09 21:16:47.058303+00:00,2024-11-09,21,5,1,0,live_dealer,,ES,mobile,e_wallet,30.0,2,silver,free_spins,327.07,963.66,636.59,99,33,1,1461.24,,,1461.24,33,327.07,True,1,True
user_000065,sess_00000038,2023-10-16 22:40:11.085596+00:00,2023-10-16,22,0,0,0,blackjack,,UK,mobile,e_wallet,54.0,21,silver,cashback,77.63,0.0,-77.63,246,82,0,793.83,,,793.83,82,77.63,True,1,False
user_000066,sess_00000479,2024-01-12 04:11:48.635029+00:00,2024-01-12,4,4,0,0,sports_betting,basketball,UK,tablet,credit_card,61.0,18,silver,free_spins,127.95,380.4,252.45,45,15,0,648.46,,,648.46,15,127.95,True,1,True
user_000071,sess_00001653,2024-05-27 14:37:58.920497+00:00,2024-05-27,14,0,0,0,live_dealer,,CA,mobile,credit_card,49.0,22,gold,reload_bonus,74.85,0.0,-74.85,178,59,1,4031.2,,,4031.2,59,74.85,True,1,False
user_000072,sess_00000840,2024-09-09 19:51:52.914790+00:00,2024-09-09,19,0,0,0,sports_betting,baseball,DE,mobile,credit_card,63.0,13,bronze,none,276.2,0.0,-276.2,61,20,0,,,,0.0,20,276.2,True,1,False
user_000073,sess_00001909,2024-09-01 17:39:27.789260+00:00,2024-09-01,17,6,1,0,live_dealer,,ES,mobile,bank_transfer,44.0,19,bronze,welcome_bonus,183.11,0.0,-183.11,165,55,0,,,,0.0,55,183.11,True,1,False
user_000074,sess_00000774,2023-08-15 19:30:55.334959+00:00,2023-08-15,19,1,0,1,live_dealer,,MX,tablet,bank_transfer,63.0,10,silver,reload_bonus,4087.93,11896.29,7808.36,123,41,0,970.54,,,970.54,41,4087.93,True,1,True
user_000075,sess_00002295,2024-11-29 13:37:18.157786+00:00,2024-11-29,13,4,0,0,blackjack,,BR,tablet,e_wallet,18.0,9,gold,welcome_bonus,93.0,0.0,-93.0,247,82,0,2867.87,,,2867.87,82,93.0,True,1,False
user_000076,sess_00000309,2024-10-02 19:32:04.679637+00:00,2024-10-02,19,2,0,0,blackjack,,AU,tablet,crypto,54.0,19,bronze,cashback,84.23,210.54,126.31,65,21,1,,,,0.0,21,84.23,True,1,True
user_000077,sess_00000723,2023-08-17 15:26:22.414874+00:00,2023-08-17,15,3,0,0,poker,,FR,tablet,bank_transfer,46.0,12,silver,cashback,115.78,139.64,23.86,53,17,0,1037.61,985.56,,1037.61,17,115.78,True,1,True
user_000079,sess_00001240,2024-08-06 07:38:26.590574+00:00,2024-08-06,7,1,0,0,blackjack,,AU,mobile,bank_transfer,,17,bronze,reload_bonus,156.13,288.58,132.45,82,27,0,,1983.07,,0.0,27,156.13,True,1,True
user_000080,sess_00000714,2023-10-24 20:11:03.115639+00:00,2023-10-24,20,1,0,0,poker,,CA,mobile,,21.0,15,gold,welcome_bonus,73.47,0.0,-73.47,61,20,0,4881.52,,,4881.52,20,73.47,True,1,False
user_000081,sess_00000737,2024-12-07 19:02:25.024973+00:00,2024-12-07,19,5,1,0,blackjack,,US,desktop,debit_card,42.0,30,gold,reload_bonus,617.35,0.0,-617.35,73,24,0,2980.0,,,2980.0,24,617.35,True,1,False
user_000083,sess_00003596,2023-11-28 09:57:39.378765+00:00,2023-11-28,9,1,0,0,live_dealer,,MX,desktop,credit_card,62.0,29,bronze,cashback,175.58,0.0,-175.58,48,16,0,,,,0.0,16,175.58,True,1,False
user_000084,sess_00000087,2024-01-15 22:40:38.517983+00:00,2024-01-15,22,0,0,0,live_dealer,,DE,desktop,credit_card,38.0,27,gold,cashback,94.68,0.0,-94.68,180,60,0,3361.13,,,3361.13,60,94.68,True,1,False
user_000085,sess_00000314,2024-12-11 17:10:31.185440+00:00,2024-12-11,17,2,0,0,poker,,CA,tablet,e_wallet,35.0,21,gold,reload_bonus,598.94,0.0,-598.94,133,44,1,4632.66,,,4632.66,44,598.94,True,1,False
user_000086,sess_00000924,2024-10-14 13:53:49.686715+00:00,2024-10-14,13,0,0,0,poker,,AU,desktop,credit_card,38.0,12,bronze,none,1256.47,0.0,-1256.47,136,45,0,,,,0.0,45,1256.47,True,1,False
user_000087,sess_00000725,2023-10-12 01:20:08.445388+00:00,2023-10-12,1,3,0,0,live_dealer,,MX,tablet,bank_transfer,55.0,26,silver,free_spins,116.48,228.61,112.13,111,37,1,1054.1,,,1054.1,37,116.48,True,1,True
user_000089,sess_00001046,2024-10-25 10:47:53.280306+00:00,2024-10-25,10,4,0,0,poker,,ES,desktop,e_wallet,38.0,6,silver,none,104.08,0.0,-104.08,86,28,0,1318.17,,,1318.17,28,104.08,True,1,False
user_000092,sess_00001895,2023-11-10 09:16:38.245610+00:00,2023-11-10,9,4,0,0,blackjack,,ES,desktop,credit_card,56.0,28,gold,cashback,107.74,0.0,-107.74,27,9,0,2385.95,,,2385.95,9,107.74,True,1,False
user_000093,sess_00000274,2024-06-23 06:39:31.093077+00:00,2024-06-23,6,6,1,0,poker,,FR,mobile,e_wallet,36.0,25,bronze,cashback,1968.77,2489.37,520.6,79,26,0,,,,0.0,26,1968.77,True,1,True
user_000094,sess_00000102,2024-06-06 00:36:27.409851+00:00,2024-06-06,0,3,0,0,live_dealer,,UK,tablet,credit_card,41.0,0,silver,cashback,63.68,0.0,-63.68,23,7,0,572.34,,,572.34,7,63.68,True,1,False
user_000095,sess_00002321,2024-03-10 14:33:58.079966+00:00,2024-03-10,14,6,1,0,poker,,MX,desktop,debit_card,40.0,9,silver,free_spins,158.54,444.19,285.65,64,21,0,1691.04,,,1691.04,21,158.54,True,1,True
user_000097,sess_00002112,2024-12-24 06:00:52.834864+00:00,2024-12-24,6,1,0,0,live_dealer,,UK,tablet,e_wallet,48.0,18,gold,free_spins,158.27,177.36,19.09,85,28,0,2475.62,1802.73,,2475.62,28,158.27,True,1,True
user_000098,sess_00006259,2024-03-08 23:54:21.070530+00:00,2024-03-08,23,4,0,0,poker,,DE,desktop,,48.0,19,bronze,welcome_bonus,74.93,108.79,33.86,105,35,1,,,,0.0,35,74.93,True,1,True
user_000099,sess_00001210,2023-11-28 09:02:22.984688+00:00,2023-11-28,9,1,0,0,live_dealer,,AU,mobile,crypto,45.0,9,silver,free_spins,113.64,0.0,-113.64,128,42,1,1751.63,,,1751.63,42,113.64,True,1,False
user_000100,sess_00000318,2024-11-02 22:16:30.117167+00:00,2024-11-02,22,5,1,1,,,BR,desktop,credit_card,42.0,10,bronze,reload_bonus,160.04,189.43,29.39,131,43,0,,1339.92,,0.0,43,160.04,True,1,True
user_000101,sess_00000106,2024-09-03 23:25:37.042103+00:00,2024-09-03,23,1,0,1,casino_slots,,FR,mobile,e_wallet,28.0,17,bronze,welcome_bonus,140.94,0.0,-140.94,26,8,0,263.98,212.21,,263.98,8,140.94,True,1,False
user_000102,sess_00000119,2024-07-18 08:54:11.093484+00:00,2024-07-18,8,3,0,0,sports_betting,basketball,MX,mobile,bank_transfer,39.0,21,bronze,reload_bonus,182.29,0.0,-182.29,99,33,0,,,,0.0,33,182.29,True,1,False
user_000103,sess_00000944,2024-03-22 06:31:12.625540+00:00,2024-03-22,6,4,0,1,casino_slots,,CA,mobile,e_wallet,40.0,18,bronze,cashback,115.0,0.0,-115.0,20,6,0,,,,0.0,6,115.0,True,1,False
user_000104,sess_00001605,2024-02-20 22:31:48.201616+00:00,2024-02-20,22,1,0,0,blackjack,,UK,tablet,debit_card,35.0,19,bronze,reload_bonus,94.63,0.0,-94.63,58,19,0,,,,0.0,19,94.63,True,1,False
user_000105,sess_00000228,2023-11-02 14:40:16.386702+00:00,2023-11-02,14,3,0,0,blackjack,,FR,desktop,debit_card,43.0,8,bronze,free_spins,127.47,0.0,-127.47,67,22,0,,152.61,,0.0,22,127.47,True,1,False
user_000106,sess_00004393,2024-02-10 08:20:12.038545+00:00,2024-02-10,8,5,1,0,poker,,IT,desktop,e_wallet,49.0,24,bronze,none,104.96,140.53,35.57,42,14,1,,,,0.0,14,104.96,True,1,True
user_000107,sess_00000535,2023-11-04 09:14:55.329649+00:00,2023-11-04,9,5,1,0,poker,,UK,desktop,e_wallet,,20,bronze,welcome_bonus,155.81,0.0,-155.81,47,15,0,,,,0.0,15,,True,1,False
user_000108,sess_00003209,2024-10-19 00:14:36.859659+00:00,2024-10-19,0,5,1,1,poker,,US,mobile,bank_transfer,47.0,22,bronze,none,197.69,236.39,38.7,37,12,0,,,-1.0,0.0,24,157.29,True,1,True
user_000110,sess_00000492,2024-05-02 12:04:55.464735+00:00,2024-05-02,12,3,0,0,roulette,,DE,desktop,e_wallet,44.0,22,bronze,none,54.87,0.0,-54.87,15,5,0,,,,0.0,5,54.87,True,1,False
user_000111,sess_00001905,2023-12-17 16:54:39.500267+00:00,2023-12-17,16,6,1,0,live_dealer,,FR,mobile,bank_transfer,21.0,17,bronze,free_spins,41.86,85.05,43.19,74,24,0,,,,0.0,24,41.86,True,1,True
user_000114,sess_00000356,2023-12-01 21:19:32.619865+00:00,2023-12-01,21,4,0,0,blackjack,,AU,mobile,e_wallet,74.0,21,bronze,cashback,704.37,0.0,-704.37,7,2,0,404.3,,,404.3,2,,True,1,False
user_000115,sess_00001099,2023-10-26 08:11:02.412054+00:00,2023-10-26,8,3,0,0,live_dealer,,CA,desktop,crypto,42.0,6,,cashback,79.14,0.0,-79.14,8,2,0,,,,0.0,2,79.14,True,1,False
user_000116,sess_00003562,2024-10-09 20:15:55.397267+00:00,2024-10-09,20,2,0,0,poker,,UK,tablet,crypto,48.0,15,bronze,reload_bonus,53.31,0.0,-53.31,114,38,0,462.53,,,462.53,38,53.31,True,1,False
user_000119,sess_00000598,2024-06-20 13:15:46.098263+00:00,2024-06-20,13,3,0,0,roulette,,UK,desktop,e_wallet,58.0,5,bronze,reload_bonus,38.86,0.0,-38.86,45,15,0,307.17,,,307.17,15,38.86,True,1,False
user_000120,sess_00000146,2023-09-13 07:25:23.855846+00:00,2023-09-13,7,2,0,0,casino_slots,,UK,tablet,crypto,54.0,11,bronze,free_spins,55.53,0.0,-55.53,11,3,0,,,,0.0,3,55.53,True,1,False
user_000121,sess_00001105,2023-10-29 06:17:36.516183+00:00,2023-10-29,6,6,1,1,roulette,,UK,tablet,bank_transfer,,16,silver,reload_bonus,89.67,0.0,-89.67,157,52,0,979.86,,,979.86,52,89.67,True,1,False
user_000122,sess_00000486,2024-03-19 13:42:16.122330+00:00,2024-03-19,13,1,0,1,blackjack,,DE,desktop,bank_transfer,34.0,12,bronze,reload_bonus,87.96,0.0,-87.96,76,25,0,,,,0.0,25,87.96,True,1,False
user_000123,sess_00001194,2024-06-15 16:49:13.576248+00:00,2024-06-15,16,5,1,0,roulette,,BR,tablet,credit_card,61.0,25,bronze,cashback,55.78,0.0,-55.78,35,11,0,,,,0.0,11,,True,1,False
user_000124,sess_00001914,2023-09-06 05:28:46.221869+00:00,2023-09-06,5,2,0,1,poker,,US,desktop,e_wallet,28.0,19,bronze,welcome_bonus,268.83,670.79,401.96,41,13,0,495.16,,,495.16,13,268.83,True,1,True
user_000127,sess_00001134,2023-12-15 18:57:08.902788+00:00,2023-12-15,18,4,0,0,blackjack,,AU,mobile,debit_card,33.0,14,silver,none,56.36,0.0,-56.36,65,21,1,674.73,,,674.73,21,56.36,True,1,False
user_000129,sess_00000593,2023-12-29 16:40:05.152875+00:00,2023-12-29,16,4,0,0,sports_betting,basketball,AU,tablet,bank_transfer,46.0,29,bronze,welcome_bonus,147.41,0.0,-147.41,58,19,0,242.16,,,242.16,19,147.41,True,1,False
user_000130,sess_00003088,2024-08-08 03:45:54.259620+00:00,2024-08-08,3,3,0,1,live_dealer,,IT,tablet,crypto,38.0,20,silver,welcome_bonus,760.87,0.0,-760.87,18,6,1,961.28,,,961.28,6,760.87,True,1,False
user_000131,sess_00000370,2024-10-02 00:04:13.790190+00:00,2024-10-02,0,2,0,1,casino_slots,,BR,desktop,bank_transfer,26.0,13,bronze,welcome_bonus,173.06,0.0,-173.06,5,1,0,,,,0.0,1,173.06,True,1,False
user_000132,sess_00001189,2023-08-13 21:06:01.646579+00:00,2023-08-13,21,6,1,1,roulette,,IT,mobile,crypto,45.0,19,bronze,cashback,220.7,0.0,-220.7,5,1,0,297.62,,,297.62,1,220.7,True,1,False
user_000133,sess_00001200,2024-01-16 06:10:36.452813+00:00,2024-01-16,6,1,0,0,blackjack,,MX,desktop,e_wallet,32.0,6,bronze,reload_bonus,68.68,0.0,-68.68,105,35,1,,,,0.0,35,68.68,True,1,False
user_000134,sess_00001294,2023-09-23 12:42:17.237520+00:00,2023-09-23,12,5,1,1,poker,,UK,mobile,crypto,50.0,0,bronze,free_spins,57.71,78.39,20.68,5,1,0,,998.95,,0.0,1,57.71,True,1,True
user_000135,sess_00000636,2024-05-01 06:22:53.347530+00:00,2024-05-01,6,2,0,0,casino_slots,,FR,desktop,crypto,33.0,15,bronze,none,171.42,449.49,278.07,5,1,1,,,,0.0,1,171.42,True,1,True
user_000137,sess_00000514,2024-01-15 17:44:14.263085+00:00,2024-01-15,17,0,0,0,poker,,BR,mobile,debit_card,35.0,20,bronze,welcome_bonus,58.99,0.0,-58.99,30,10,0,,726.59,,0.0,10,58.99,True,1,False
user_000138,sess_00005013,2024-10-05 10:26:29.420158+00:00,2024-10-05,10,5,1,0,sports_betting,golf,MX,desktop,bank_transfer,41.0,27,bronze,reload_bonus,46.73,95.51,48.78,74,24,0,492.25,,,492.25,24,46.73,True,1,True
user_000141,sess_00000203,2024-08-13 20:01:17.868394+00:00,2024-08-13,20,1,0,0,poker,,FR,desktop,bank_transfer,47.0,15,silver,reload_bonus,121.83,0.0,-121.83,6,2,0,1191.01,,,1191.01,2,,True,1,False
user_000142,sess_00001699,2024-02-05 13:54:13.575275+00:00,2024-02-05,13,0,0,0,poker,,UK,tablet,e_wallet,60.0,8,silver,free_spins,34.68,84.46,49.78,44,14,0,525.61,,,525.61,14,34.68,True,1,True
user_000144,sess_00002518,2024-03-26 16:02:31.836443+00:00,2024-03-26,16,1,0,0,casino_slots,,ES,tablet,crypto,47.0,12,silver,welcome_bonus,44.57,107.51,62.94,14,4,1,530.31,943.99,,530.31,4,44.57,True,1,True
user_000145,sess_00001346,2024-04-05 11:56:03.184713+00:00,2024-04-05,11,4,0,1,blackjack,,MX,tablet,crypto,48.0,23,bronze,free_spins,111.79,0.0,-111.79,77,25,0,,,,0.0,25,111.79,True,1,False
user_000146,sess_00000336,2024-11-13 13:46:05.657975+00:00,2024-11-13,13,2,0,0,roulette,,CA,mobile,bank_transfer,54.0,8,bronze,reload_bonus,225.41,0.0,-225.41,16,5,0,,,,0.0,5,225.41,True,1,False
